Kundennummer;Abnehmer Nr.;Steuernummer des Abnehmers;Creditreform;Entscheidungssumme 1 (Vertragsw hrung);Entscheidungsdatum;Ablaufdatum Betrag 
36352;60464757;DE126575239;5010364569;10000;13.09.2021;
23284;16006849;DE811114402;7330001237;10000;13.09.2021;
44646;36477879;DE283636406;5070325558;10000;10.09.2021;
34923;13451840;DE166460461;2050337389;15000;07.09.2021;
29283;75920479;DE814367749;2151244057;700000;07.09.2021;
44399;6818638;DE175832287;8130077196;10000;07.09.2021;
51732;9056408;DE812178585;5070166499;20000;02.09.2021;
12510;13587691;DE122804215;5190001169;65000;01.09.2021;
32626;13642629;DE116678917;2330002086;70000;27.08.2021;
62176;3926844;DE120679226;5270057102;50000;25.08.2021;
50334;4254924;DE811135476;4330006229;100000;24.08.2021;
45410;18676018;DE272946600;2390403376;10000;20.08.2021;
19035;9974483;DE149049958;6190068616;15000;18.08.2021;
55795;4302359;DE146748591;7370053363;10000;16.08.2021;
50728;1124120;DE154843639;4290074039;10000;12.08.2021;
31871;9081620;;;40000;11.08.2021;
25040;21801172;DE301833242;5230397405;10000;10.08.2021;
27994;14493957;PL8860015867;;55000;09.08.2021;
46895;2656176;DE124377621;4250002641;20000;09.08.2021;
33815;4172435;DE126448695;4310033047;20000;09.08.2021;
44748;1586377;FR46348937012;;20000;06.08.2021;
61283;4752403;DE146475809;7270015408;10000;04.08.2021;
47584;13983877;DE813561973;7330672068;10000;03.08.2021;
48841;4146031;DE126795233;4130004265;10000;02.08.2021;
34744;3985086;DE811125281;8170085482;10000;30.07.2021;
49994;4094949;DE144448389;7050002518;10000;29.07.2021;
43374;7143306;DE142111659;7010011732;10000;27.07.2021;
59600;4119763;DE134853331;2230000478;15000;26.07.2021;
47867;9083417;DE125805506;4210001905;10000;23.07.2021;
44587;13486006;DE124172502;4030000889;25000;21.07.2021;
34218;15257729;DE814000384;5330198304;15000;21.07.2021;
34904;16629461;DE230149006;2151153026;28000;20.07.2021;
33988;3945454;DE116581046;2050002872;10000;19.07.2021;
49569;13138202;DE205653073;4130006201;15000;16.07.2021;
59593;18451101;DE813462142;6110383829;10000;16.07.2021;
24162;10040963;CH101917901;;20000;16.07.2021;
32104;13686162;BG040201751;;10000;19.07.2021;
57741;2386298;DE144202694;7230001652;15000;13.07.2021;
21220;3947248;DE811169282;4030009689;15000;08.07.2021;
44230;3554996;;;75000;08.07.2021;
10080;95357435;NO988411302;;500000;06.07.2021;
26129;13046727;DE146083183;7070039248;10000;05.07.2021;
35200;4029828;DE813168454;7290004480;70000;02.07.2021;
59041;13536726;DE121537555;5070195204;10000;01.07.2021;
27576;11336440;DE124281666;4270074045;95000;01.07.2021;
12451;4005113;DE811522370;4030029704;30000;29.06.2021;
46460;4799095;FR73342651130;;20000;29.06.2021;
24391;4332184;DE812029088;4150128686;20000;29.06.2021;
61098;76011601;DE170846882;4210034063;10000;25.06.2021;
20497;63822877;DE815468968;2012443071;10000;22.06.2021;
15895;85731972;DK31484111;;40000;21.06.2021;
15647;79725053;DE815072755;7330904684;30000;18.06.2021;
24805;61186999;DE117113765;2050200943;10000;18.06.2021;
44108;11127802;DE813330563;2110112803;15000;16.06.2021;
27868;7169723;DE174736262;4170131857;10000;15.06.2021;
34895;86378058;DE254384968;8190680024;10000;14.06.2021;
40049;4194042;DE126181765;4330005968;10000;09.06.2021;
53351;73747210;DE205045123;8350229529;10000;07.06.2021;
62258;14152829;DE813230760;4250295345;10000;28.05.2021;
42922;57373705;BE0887300966;;20000;26.05.2021;
17161;12928578;DE112590158;6110122054;20000;25.05.2021;
27983;13173323;DE115123787;2070026498;10000;20.05.2021;
49646;13603419;DE117583268;2310085863;10000;18.05.2021;
33959;10367258;DE177881168;4190005006;25000;14.05.2021;
34885;13473084;DE162939241;5010173313;10000;14.05.2021;
59542;13408588;DE811325367;8290002712;20000;06.05.2021;
59537;13303578;DE811207458;4290000853;10000;04.05.2021;
12995;16962720;DE250324073;2011799672;15000;03.05.2021;
23534;15857947;DE164412051;5110203567;10000;29.04.2021;
21228;4879590;FR53775703614;;60000;29.04.2021;
44585;12746660;FR90332127638;;350000;27.04.2021;
28633;22749220;DE318966062;8070350269;15000;27.04.2021;
27977;16944903;DE234701800;7050224701;10000;27.04.2021;
36467;13056655;DE212780193;4070320542;10000;26.04.2021;
59237;4875665;BE0407184719;;15000;23.04.2021;
59260;3920451;DE811153558;8230243981;10000;22.04.2021;
44659;18404693;CH112548;;50000;20.04.2021;
42002;13587957;DE124280665;4270038130;20000;20.04.2021;
11303;7279208;BE0435876527;;15000;19.04.2021;
32034;12933291;DE220767843;6250161332;10000;19.04.2021;
58281;13004567;DE176148548;5250075065;100000;14.04.2021;
24709;12562609;FR11322294463;;20000;12.04.2021;
22356;19214676;CZ24848115;;10000;12.04.2021;
22208;51750657;DE815718353;8330411120;50000;01.04.2021;
25012;624224;DE144742287;7330273818;10000;31.03.2021;
27500;1266504;DE121283050;5050144795;10000;31.03.2021;
36059;4162517;DE125753254;4170006954;10000;31.03.2021;
61270;9693316;DE813641166;2250006292;10000;31.03.2021;
24484;719475;CH101824180;0406449028;10000;31.03.2021;
52313;12115781;;;10000;31.03.2021;
59254;4537714;SE556354522601;;20000;31.03.2021;
49065;2222073;NL006512732B01;;10000;31.03.2021;
29277;4769418;BE0415997465;;10000;31.03.2021;
18373;33039348;HU24380492;;30000;31.03.2021;
14589;69654871;DE207138631;5190501847;10000;29.03.2021;
27819;7823625;DE812047624;2310120021;10000;29.03.2021;
38722;21336473;DE815517191;5191060184;10000;25.03.2021;
26184;70615249;DE232465285;7110180072;10000;24.03.2021;
35641;18949913;;3230161775;10000;23.03.2021;
45376;4181662;BE0404944712;;20000;23.03.2021;
38751;13186543;DE216575539;2250189256;10000;22.03.2021;
33463;13534886;DE126619857;4330019618;10000;18.03.2021;
27011;78641048;DE813219699;7210082351;10000;16.03.2021;
52241;22087079;DE815652616;5050776334;10000;11.03.2021;
26870;4328214;;4010014289;10000;10.03.2021;
32185;92562171;DE297214107;6070682593;20000;04.03.2021;
43235;94442551;DE298826879;5230391043;15000;02.03.2021;
29490;17956088;DE218354404;7110227785;15000;01.03.2021;
25181;13354149;DE300719124;5230001116;40000;01.03.2021;
59472;2364782;DE143760280;7110056898;90000;01.03.2021;
29488;17943683;DE265072419;7110317853;15000;26.02.2021;
55792;21648912;NL855323310B01;;40000;25.02.2021;
11692;18128342;DE188789493;8150258877;10000;22.02.2021;
61859;10002639;DE119562189;5070107511;150000;18.02.2021;
25230;4073996;DE134173263;8310034126;50000;16.02.2021;
25310;16712628;DE254531102;2030289793;10000;16.02.2021;
59421;3974866;BE0446444775;;25000;15.02.2021;
31689;52124600;DE815025488;2330087412;30000;05.02.2021;
20597;20594713;DE123988497;4030097576;30000;05.02.2021;
34820;13615970;DE178632506;5110153756;50000;03.02.2021;
25516;40436120;DE145773796;7070011890;30000;02.02.2021;
25975;4251834;DE151116749;7190001137;40000;29.01.2021;
23998;17995473;DE124159538;5130118184;20000;29.01.2021;
36870;13540921;DE133705816;8230102427;10000;21.01.2021;
21703;13202783;DE125906480;8170253080;40000;20.01.2021;
61029;2309231;DE811173074;3150017806;10000;20.01.2021;
42060;3873025;DE123503110;5190004490;18000;15.01.2021;
29414;92078007;DK18660830;;600000;13.01.2021;
25221;10277681;DE124877224;4070165230;10000;12.01.2021;
27572;53849554;ESB58513912;;20000;18.12.2020;
18196;21465313;DE278533990;4030096176;200000;09.12.2020;
14422;10475495;DE811874007;4070225183;15000;07.12.2020;
24773;12998076;DE147175395;7270013146;10000;02.12.2020;
10048;88264209;DE230819630;4030068032;20000;01.12.2020;
21337;13512677;DE114152153;6190067035;15000;01.12.2020;
60517;13391024;;7331003881;10000;26.11.2020;
58379;181991;DE186985535;2190188628;10000;20.11.2020;
17444;4126795;DE811209255;5170008665;10000;20.11.2020;
12396;91587408;DE166409572;2150901493;300000;20.11.2020;
62045;22726779;DE318104535;2050993288;20000;19.11.2020;
44524;37789210;DE193078941;7330526052;10000;18.11.2020;
52050;18211265;DE266899510;4130123674;15000;17.11.2020;
23398;8998940;DE226309450;7350039262;20000;09.11.2020;
10031;4220300;DE119658169;4050138260;15000;06.11.2020;
40402;10393063;FR67402296719;;20000;06.11.2020;
12382;20089641;DE152531649;2290099078;50000;02.11.2020;
34684;31783882;FR71808351589;;20000;26.10.2020;
31059;13645181;DE163343145;5210106201;50000;23.10.2020;
43312;23379062;DE328883921;8270374046;10000;20.10.2020;
44757;18478429;DE255754341;4070450276;550000;21.10.2020;
61095;13066844;DE188477777;4010117181;10000;16.10.2020;
43254;44335645;DE306226320;8270336284;10000;13.10.2020;
60510;9034477;DE812435097;8010000094;100000;13.10.2020;
31540;21812080;DE815614485;2410118989;10000;05.10.2020;
52291;17334095;DE238589652;3150256788;10000;01.10.2020;
45309;4063261;DE126781419;4130025524;10000;30.09.2020;
38444;7652790;NL806530212B01;;100000;28.09.2020;
30710;4183461;DE811501956;4070195080;10000;23.09.2020;
35359;4323972;DE114820733;2030007950;10000;23.09.2020;
26441;13230719;DE297110640;2170065403;10000;15.09.2020;
62139;19823255;DE815379128;6070633806;10000;11.09.2020;
11041;498198;DE811575164;5150054092;20000;09.09.2020;
44745;4300439;DE125906238;3270011528;600000;08.09.2020;
24292;4780064;DE811199226;5310003639;10000;28.08.2020;
34047;1204858;DE120310677;5130000031;10000;24.08.2020;
25528;4756993;BE0434388071;;40000;25.08.2020;
50277;601509;DE147637018;7330015986;10000;18.08.2020;
45448;3987566;DE811188960;2310006296;20000;22.07.2020;
44065;14013527;;0406708043;10000;07.07.2020;
42509;7153812;DE125803674;4210002910;10000;07.07.2020;
44126;4187308;DE295315737;6070675934;10000;06.07.2020;
47190;1466862;DE123243075;5150000982;25000;29.06.2020;
48873;22165790;;2190736580;10000;12.06.2020;
26403;3894341;DE143840725;7170007862;10000;25.05.2020;
23396;38140910;DE188747960;3150175412;10000;14.05.2020;
58720;10691751;ATU14662505;;20000;14.05.2020;
15118;22077801;DE301791496;2190715807;10000;13.05.2020;
29232;13543472;DE180160508;5290004242;10000;21.04.2020;
20492;3849200;DE114138241;5110299917;50000;17.04.2020;
50800;13745618;CH106012551;;30000;06.04.2020;
32193;1348498;DE115667072;2190161636;15000;17.03.2020;
59309;41202213;DE113527674;6210029079;45000;17.03.2020;
44719;68807664;FR90804575256;;25000;24.02.2020;
44701;13100911;DE173487318;4050041855;20000;13.02.2020;
35684;13011143;DE187329640;5250083856;60000;24.01.2020;
40422;85210908;FR79488225434;;30000;14.01.2020;
28325;9054595;DE131050962;8250102290;15000;08.01.2020;
24519;7570099;;;130000;21.11.2019;
47931;4142732;CH105783120;;20000;24.10.2019;
23628;96808732;DE162349064;7370127685;10000;23.09.2019;
27805;87392426;FR52483632378;;10000;05.09.2019;
20485;17907333;CZ28372158;9212698082;30000;29.08.2019;
44645;63812695;DE323749817;7070383684;15000;28.08.2019;
52059;17716731;LU22592442;;20000;18.07.2019;
28316;15072175;DE235236577;7110258204;75000;11.07.2019;
12185;17399548;DE286324061;7170276966;15000;02.07.2019;
24472;73100669;FR81493157044;;20000;06.06.2019;
23153;10113459;CH106740165;0406259574;400000;28.05.2019;
47061;13343439;DE146000888;7330112040;30000;01.04.2019;
20287;13457860;DE811220486;8350065939;20000;01.04.2019;
50349;9015984;DE193093779;7270158995;10000;01.04.2019;
48240;13648609;;3170084100;20000;01.04.2019;
31401;13626690;DE144529381;7230159470;40000;01.04.2019;
12169;13120402;DE114532204;2050099527;10000;29.03.2019;
28030;74271323;;2190236429;20000;19.03.2019;
12569;13496448;DE148633258;7090000269;250000;14.03.2019;
45682;13176369;DE116630028;2050031111;45000;14.03.2019;
57273;4762826;DE811147730;8270001064;15000;22.02.2019;
25563;4213797;DE146279926;6270029878;40000;22.01.2019;
24172;13526169;DE141336448;8110026145;15000;03.01.2019;
20189;18629974;DE815206430;3270162368;20000;14.12.2018;
43058;41569048;FR68792791915;;40000;11.12.2018;
11820;10234125;NL808839342B01;;30000;22.10.2018;
45679;17989864;DE220934786;3230130681;10000;16.10.2018;
15781;67005598;FR56803740398;;40000;11.09.2018;
61850;18950169;;;30000;03.09.2018;
49974;1943384;EL095170219;;30000;27.07.2018;
36596;16757420;DE232549528;3210125980;30000;25.07.2018;
25069;13401075;DE120881714;5330010849;25000;25.05.2018;
44490;31360237;DE811137050;3070007369;90000;18.05.2018;
50726;20773766;ATU58189409;;30000;16.05.2018;
58241;13420532;DE131449056;8230005165;10000;09.05.2018;
38181;10543483;DE159366445;2150558236;15000;28.03.2018;
26267;11678654;DE188670465;6270001681;60000;28.03.2018;
31270;68701719;ATU62218139;;30000;28.03.2018;
40325;989035;FR32957524093;;20000;28.03.2018;
40410;19496396;DE265812509;7190143794;150000;20.03.2018;
50012;16996407;DE812426328;2150814801;10000;13.02.2018;
19186;9083336;DE111627671;6050038135;20000;08.02.2018;
45509;12984558;DE813227281;4070324197;400000;06.02.2018;
27630;99858057;CZ25649761;;30000;02.02.2018;
24537;93592359;DE270372247;2012126414;80000;02.02.2018;
42033;67456953;DE815172307;5210010654;15000;24.01.2018;
12195;20589030;FR29513647339;;15000;19.01.2018;
11990;58246144;DE815501687;8171020675;20000;10.10.2017;
24566;22402969;DE815718634;5190646966;40000;06.10.2017;
46870;59850881;GB733611258;;20000;07.09.2017;
26605;1166583;DE811502037;7330368074;200000;13.07.2017;
23959;14673756;IT04902000480;;30000;24.03.2017;
21370;16515925;DE249478354;7110289386;30000;13.03.2017;
12726;79261100;DE127047025;4130120831;10000;02.03.2017;
58113;4282297;DE146280061;7070000394;10000;02.03.2017;
15400;85634514;BE0825550964;;200000;23.02.2017;
38145;4795478;DE125132919;4110000152;200000;22.09.2016;
49918;15034584;RO14882941;;20000;22.06.2016;
42939;3585777;NL005577044B01;;20000;29.04.2016;
58266;15891514;GB844534323;;20000;10.12.2015;
18388;93884545;NL855159856B01;;10000;05.11.2015;
21030;4318480;DE142516039;7010015278;10000;21.10.2015;
15717;17355734;ESB08963134;;90000;13.10.2015;
47048;669479;DE121646877;5050033210;50000;15.05.2015;
50042;1295351;DE811223925;5210010109;10000;12.01.2015;
35834;4761843;;;300000;30.06.2014;
36837;3443394;NL004003901B01;;300000;30.06.2014;
29388;7205843;DE160951383;8350101662;50000;11.06.2014;
45268;7222915;DE176717660;6110005225;15000;12.05.2014;
35167;4225819;DE130837826;8270006386;20000;23.12.2013;
36776;43584891;DE814927366;4150153018;15000;20.12.2013;
30383;13327930;DE144393880;7230009376;10000;11.06.2013;
