kdn kontonr;name 001;ans ustid;ans ustid2;Bearbeiter;Bearbeitungsstatus;Bearbeitungsart;Organisationsebene;Adresse Hauptsitz
20168;Evonik Techn. & Infrastructure GmbH;DE187430162;;SK3;Grün;Final;Abhängige Niederlassung;Evonik Techn. & Infrastructure GmbH, Rellinghauser Straße 1 - 11, 45128 Essen 
20174;EMT;FR96403828973;FR96403828973;0;;;;
20181;SCHLOSSER EUROPART Technischer Handel GmbH;DE251601070;;0;Grün;Final;Abhängige Niederlassung;
20189;ESE GmbH;DE815206430;;SK3;Grün;Final;;
20192;Evonik Industries AG;DE 811160003;;0;Grün;Final;Abhängige Niederlassung;Evonik Industries AG, Rellinghauser Straße 1 - 11, 45128 Essen 
20195;ERIKS BV;NL007282199B01;NL007282199B01;0;Grün;Final;Abhängige Niederlassung;ERIKS Niederlande, Postfach 280, 1800 BK Alkmaar, Handelskammer Niederlande: 37050277
20196;ELORBI S.A.;ESA48162218;ESA48162218;0;;;;
20219;Evonik Industries AG;DE 811160003;;0;Grün;Final;Abhängige Niederlassung;Evonik Industries AG, Rellinghauser Straße 1 - 11, 45128 Essen 
20229;Eurowaste NV;BE0458360434;BE0458360434;SK3;Grün;Final;Hauptsitz;
20238;ERIKS Deutschland GmbH;DE184690793;;0;Grün;Final;Abhängige Niederlassung;ERIKS Deutschland GmbH Kreisheide 7, 33790 Halle
20239;EUROPRESTO B.V.;NL853583109B01;NL853583109B01;0;;;;Kreisheide 7
20240;EHM Mechanik GmbH;DE280718090;;SK3;Grün;Final;Hauptsitz;
20255;ECCO Tannery  B.V.;NL007824853B01;NL007824853B01;0;;;;
20277;ESKA B.V.;NL003825231B01;NL003825231B01;0;;;;
20296;ECOCRANES ROMANIA SRL;RO34873417;RO34873417;0;;;;
20302;ERIKS BV;NL007282199B01;NL007282199B01;SK3;Grün;Final;Hauptsitz;Eriks BV, Toermalijnstraat 5, 1812 RL Alkmaar, Niederlande 
20321;EMMEBIFORNITURE di Bodei Manuel;IT03292860982;IT03292860982;0;;;;
20331;Eisen Wagner;ATU70976937;ATU70976937;0;;;;
20387;EUROSAFETYGROUP B.V.;NL855030574B01;NL855030574B01;0;;;;
20388;Ecolab Europe GmbH;DE257826731;DE257826731;0;;;;
20392;ERIKS Deutschland GmbH;DE184690793;;0;Grün;Final;Abhängige Niederlassung;ERIKS Deutschland GmbH Kreisheide 7, 33790 Halle
20396;ETS GUERMONT-WEBER SAS;FR49358800167;FR49358800167;0;;;;
20397;Evodos B.V.;NL823448575B01;NL823448575B01;0;;;;
20399;EUROMARKET KARRY J.S.Co.;BG131111964;BG131111964;0;;;;
20401;EXPERBUY SAS;FR85385109004;FR85385109004;0;;;;
20403;EVERCLEAN bvba;BE0872757597;BE0872757597;0;;;;
20404;Feindrahtwerk Adolf Edelhoff GmbH & Co.KG; DE 125574417;;SK3;Grün;Final;Hauptsitz;
20405;Extincendios;PT501390324;PT501390324;0;;;;
20407;EURL Emboutimetal;FR58404201311;FR58404201311;0;;;;
20413;EnviroGlobal Espana S.L.;ESB93181048;ESB93181048;0;;;;
20447;Electro Engineering Jansen Sprl;BE0878634314;BE0878634314;0;;;;
20461;ELWE-LOCATION SARL;LU13766571;LU13766571;0;;;;
20473;eska - Hydraulik GmbH;DE-286 322 695;;SK3;Grün;Final;Hauptsitz;
20478;ERIKS Industrial Services Ltd;GB277263240;GB277263240;0;Grün;Final;Hauptsitz;
20481;Emsland-Aller Aqua GmbH;DE251619096;;SK3;Grün;Final;Hauptsitz;
20484;EST PAYSAGES;FR33539568618;FR33539568618;0;;;;
20485;EMPORO, s.r.o.;CZ28372158;CZ28372158;SK3;Grün;Final;Hauptsitz;
20493;Emporo GmbH;DE307260737;;0;Grün;Final;Hauptsitz;
20494;ERCALUX S.A.;LU23702922;LU23702922;0;;;;
20496;EnviroDTS GmbH;DE 114143021;;0;Grün;Final;Hauptsitz;
20500;Elis BV;NL004395918B01;NL004395918B01;0;;;;
20506;H.J. Enthoven & Sons T/AEcobat Logistics;GB598636570 (010);GB598636570;SK3;Grün;Rückfrage;Abhängige Niederlassung;Ecobat Logistics UK, Crescent Works Industrial Park, Willenhall Road, Darlaston, WS10 8JR, GB
21228;FRANKEL S.A.S.;FR53775703614;FR53775703614;SK;Grün;Final;Hauptsitz;
21259;Carl Stahl Süd GmbH;DE811726093;;0;Grün;Final;Abhängige Niederlassung;
21309;FYNS KRAN UDSTYR A/S;DK28109539;DK28109539;0;;;;
21368;FAUDI GmbH;DE240803308;;SK3;Grün;Final;Hauptsitz;
21370;fischer Edelstahlrohre GmbH;DE249478354;;SK3;Grün;Final;Hauptsitz;
21856;Frissen Intern transport B.V.;NL805822355B01;NL805822355B01;0;;;;
21884;Fosse Liquitrol Ltd;GB485682889;GB485682889;0;;;;
21896;FerroTech;NL851284176B01;NL851284176B01;0;;;;
21902;Wilhelm Fricke SE;DE 815 646 089;;SK3;Grün;Final;Hauptsitz;
21910;ASF Abfallwirtschaft und Stadtreinigung Freiburg GmbH;DE201746145;;SK;Grün;Final;Hauptsitz;
21941;Ferrometal Unipessoal, LDA;PT500114846;PT500114846;0;;;;
22010;F2I;FR56415056548;FR56415056548;0;;;;
22021;FAC LOGISTIQUE;FR28403374861;FR28403374861;0;;;;
22023;FJ-TEC Industriebedarf e.K.;DE244907626;;SK3;Grün;Final;Hauptsitz;
22025;FEDO Beheer V.O.F.;NL812708441B01;NL812708441B01;SK3;Grün;Final;;
22035;FLSmidth MAAG Gear Sp. z o. o.;PL5782571936;PL5782571936;0;;;;
22060;For Demand, Lda;PT510268480;PT510268480;SK3;;;;
22074;Forbo Flooring B.V.;NL001195554B01;NL001195554B01;0;;;;
22075;Industriebedarf Paulus; DE813353267;;SK3;Grün;Final;Hauptsitz;
22081;Feyter Forklift Service B.V.;NL002812071B01;NL002812071B01;0;;;;
22089;FI-LOG Sarl;FR03534026125;FR03534026125;0;;;;
22105;Fournitures Industrielles de l'Ondaine;FR83522627132;FR83522627132;0;;;;
22109;Fillislift - Andreas Fillis S.A.;EL999634250;EL999634250;0;;;;
22117;FERRO-FIX B.V.;NL851561135B01;NL851561135B01;SK;Grün;Final;Abhängige Niederlassung;Waste Vision Eefde/Deventer (Zentrale) Zutphenseweg 42, 7211 ED Eefde 
22166;FENWICK-LINDE SARL;FR11348936386;FR11348936386;0;;;;
22175;FENWICK LINDE TOURS;FR11348936386;FR11348936386;0;;;;
22203;Frisoplan B.V.;NL809211014B05;NL809211014B05;0;;;;
22212;FRANCOIS ENTSORGUNG S.à.r.l.;LU21755034;LU21755034;0;;;;
22218;FAC LOGISTIQUE SASU;FR28403374861;FR28403374861;0;;;;
22219;FENWICK-LINDE SARL;FR11348936386;FR11348936386;0;;;;
22231;Fastenal Europe B.V.;NL812544717B01;NL812544717B01;0;;;;
22232;FELDMANN SAS;FR39340969559;FR39340969559;0;;;;
22240;Finncont Oy;FI17407026;FI17407026;0;;;;
22241;Fleurolex Vitroplant Production sprl;BE0844032731;BE0844032731;0;;;;
22260;FEROKOTAO Ltd.;HR64515673931;HR64515673931;0;;;;
22274;Fenwick Linde Sarl;FR11348936386;FR11348936386;0;;;;
22275;FOURNITURES INDUSTRIELLES AUTOMOBILE SAS;FR95778116988;FR95778116988;0;;;;
22277;FIVES MAINTENANCE SAS;FR52380065672;FR52380065672;0;;;;
22279;Friesland Magazijn;NL106422716B01;NL106422716B01;0;;;;
22282;FALLPROTEC SA;LU20209666;LU20209666;0;;;;
22283;fuchs.holzbaulösungen;DE 129 047 517;;SK3;Grün;Final;Hauptsitz;
22304;FRANCE BOULON SARL;FR34338062144;FR34338062144;0;;;;
23007;GAERNER GmbH;DE119558512;DE119558512;0;;;;
23008;GAERNER  Ges.m.b.H.;ATU34766606;ATU34766606;0;;;;
23053;GG Gebhard + Gehring GmbH;DE 144839403;;SK3;Grün;Final;Hauptsitz;
23059;GEDIA Gebrüder Dingerkus GmbH;DE 811 140 336;;SK3;Grün;Final;Hauptsitz;
23151;Lerbs AG;DE325932497;;SK3;Grün;Final;Inaktiv/ Sperren;
23153;G E T A G Edntsorgungs- Technik AG;CHE106740165;;SK;Grün;Final;Hauptsitz;
23255;Fritz Graefer GmbH & Co. KG;DE178647034;;SK3;Grün;Final;Hauptsitz;
23317;GRUMA Nutzfahrzeuge GmbH;DE 127481508;;SK3;Grün;Final;Hauptsitz;
23348;GSB-Sonderabfall-Entsorgung Bayern GmbH;DE 129521680;;SK;Grün;Final;Hauptsitz;
23600;Globus Drahtseil GmbH & Co. KG;DE125570899;;SK;Grün;Final;Hauptsitz;
23699;Goodyear S.A.;LU11315637;LU11315637;0;;;;
23724;Gedema GmbH;DE 165023717;;SK3;Grün;Final;Hauptsitz;
23763;Günther Fachhandel GmbH & Co. KG;DE191650147;;SK3;Grün;Final;Hauptsitz/ Duplikat;
23834;MATECO B.V.;NL001863678B01;NL001863678B01;0;;;;
23900;Gerhardi Kunststofftechnik GmbH;DE 813 032 761;;SK3;Grün;Final;Hauptsitz;
23922;ETS Guermont Weber SAS;FR49358800167;FR49358800167;0;;;;
23924;Hubert Graf Technisches Geschäft GmbH;DE 124390735;;SK3;Grün;Final;Hauptsitz;
23959;G.R.I. Gruppo Rappresentanze Industriali Srl;IT04902000480;IT04902000480;SK3;Grün;Final;Hauptsitz;
24051;Karl Gollinger Werkzeuge + Maschinen;DE 813358134;;SK3;Grün;Final;Hauptsitz;
24162;Thommen-Furler AG;CH101917901;;SK3;Grün;Final;Hauptsitz;
24170;Renewi Nederland bv;NL800259841B01;NL800259841B01;0;;;;
24184;Gutman Lifting, s.r.o.;SK2022022024;SK2022022024;0;;;;
24277;GVG Oliehandel BV;NL808447221B01;NL808447221B01;0;;;;
24295;ROLLER-TECH S.à.r.l.;LU10008549;LU10008549;0;;;;
24317;GRUBAU BVBA;BE0420959313;BE0420959313;0;;;;
24337;GERATECH Landmaschinen GmbH;DE 202365583;;SK3;Grün;Final;Hauptsitz;
24344;Gigant AB;SE556588291601;SE556588291601;SK3;Grün;Final;Hauptsitz;Gigant AB, Kristineholmsvägen 35D, 44139 Alingsås 
24365;GRCT-MTD BVBA;BE0890846812;BE0890846812;SK3;;;;
24423;Geschützte Werkstätte Wr. Neustadt GmbH;ATU20624402;ATU20624402;0;;;;
24444;G'MAT équipement;FR32329957567;FR32329957567;0;;;;
24472;GRAF Distribution SARL;FR81493157044;FR81493157044;SK3;Grün;Final;Hauptsitz;
24492;GRAF Plasturgie SARL;FR38493246011;FR38493246011;0;Grün;Final;Hauptsitz;
24493;Günther Fachhandel GmbH & Co. KG;DE191650147;;SK;Grün;Final;Hauptsitz;
24511;Gas Cage Shop;GB168787344;GB168787344;SK3;;;;
24519;GP Groot Inzameling & Recycling B.V.;NL800378532B01;NL800378532B01;SK;Grün;Final;Abhängige Niederlassung;GP Groot inzameling en recycling, Boekelerdijk 13, 1812 LV Alkmaar, Niederlande
24525;Stadsbeheer Gemeente Groningen;NL825783434B01;NL825783434B01;0;;;;
24533;Gassner Mülltransport GmbH;ATU33569705;ATU33569705;0;;;;
24537;Genius Entwicklungsgesellschaft mbH;DE 270372247;;0;Grün;Final;Hauptsitz;
24548;Grobeco B.V.;NL810314472B01;NL810314472B01;0;;;;
24566;Gödde GmbH;DE 815 718 634;;SK3;Grün;Final;Hauptsitz;
24585;GENIUS Technologie GmbH; DE 283220921;;SK3;Grün;;Rückfrage;
24587;Gemeente Amersfoort;NL002508369B06;NL002508369B06;0;;;;
24594;GGG Sp.z.o.o.;PL9482044896;PL9482044896;0;;;;
24596;GBI Van Dijk Bouw en Techniek;NL800025428B01;NL800025428B01;0;;;;
24597;Gripmax s.r.o.;SK2023906313;SK2023906313;0;;;;
24599;Privatbrauerei Gaffel Becker & Co. OHG;DE 122787622;;SK3;;;Adresse nicht zu finden bei Gaffel;Privatbrauerei Gaffel Becker & Co. OHG, Welserstraße 16, 51149 Köln (Porz-Gremberghoven)
24618;Groz-Beckert Carding Belgium NV;BE0405443271;BE0405443271;0;;;;
24636;GUELT SAS;FR87401190376;FR87401190376;0;;;;
24640;Grenzland-Bau GmbH;DE 123 76 56 01;;SK3;Grün;Final;Hauptsitz;
24643;GP UTENSILI S.R.L.;IT02957050210;IT02957050210;0;;;;
24649;Goma;NL006876444B01;NL006876444B01;0;;;;
24693;Grünblick Garten- und Landschaftsbau GmbH;DE326278607;;SK;Grün;Final;Hauptsitz;
24698;GUILMAN;FR22315735456;FR22315735456;0;;;;
24707;GreenLlood;ESB65966806;ESB65966806;0;;;;
24709;GRANDBLAISE LEROY SAS;FR11322294463;FR11322294463;0;;;;
24728;GRISON S.A. SAS;FR47655680080;FR47655680080;0;;;;
24729;Grovema B.V.;NL817227866B01;NL817227866B01;0;;;;
25013;Haberkorn GmbH;ATU54888000;ATU54888000;SK3;Grün;Final;Hauptsitz;
25035;HEB GmbH Hagener Entsorgungsbetrieb;DE191907347;;SK;Grün;Final;Hauptsitz;
25066;Handelshof Riesa GmbH;DE 140 695 986;;0;Grün;Final;Hauptsitz;
25069;HANEU Katalog GmbH;	DE 120881714;;SK3;Grün;Final;Hauptsitz;HANEU Katalog GmbH, Dellenfeld 24, 42653 Solingen
25156;HFT Hebe- und Fördertechnik GmbH;DE 811333165;;SK3;Grün;Final;Hauptsitz;
25177;Hefele GmbH & Co. KG;DE 127740978;;SK3;Grün;Final;Hauptsitz;
25181;HEGENSCHEIDT-MFD GmbH;DE300719124;;SK3;Grün;Final;Hauptsitz;
25230;Heinrich & Schleyer GmbH;DE134173263;;SK;Grün;Final;Hauptsitz;
25257;ZWEYGART;Fachhandelsgruppe GmbH & Co. KG;DE145148092;;0;Grün;Final;Abhängige Niederlassung;
25343;Aug. Heseding GmbH;DE 811269581;;SK3;Grün;Final;Hauptsitz;
25516;Hofmann Fördertechnik GmbH;DE 145773796;;SK3;Grün;Final;Hauptsitz;
25528;N.V. Mennens Belgium;BE0434388071;BE0434388071;SK3;;;;
25563;Hommel Hercules Werkzeughandel GmbH & Co. KG;DE146279926;;SK3;Grün;Final;Hauptsitz;
25676;Josef vom Hövel / Rheinischer;DE122800621;;SK;Grün;Final;Hauptsitz;
25759;HKL Baumaschinen GmbH;DE 118 663 931;;SK3;Grün;Final;Hauptsitz;
25794;Hans Hebetechnik + Metallbau GmbH;DE 141785261;;SK3;Grün;Final;Hauptsitz;
25803;Hesse GmbH & Co. KG;DE125232405;;SK;Grün;Final;Hauptsitz;
25817;Handelshof Vorpommern GmbH;DE 137 528 206;;0;Grün;Final;Hauptsitz;
25864;H-ITB Betriebs- und;HU12505533;HU12505533;0;;;;
25899;ITS Hendrion B.V.;NL008452222B01;NL008452222B01;0;;;;
25942;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
25966;hagebau - Handelsgesellschaft für Baustoffe mbh & Co. KG; DE 116 373 838;;SK3;Grün;Final;Hauptsitz;
25993;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26120;HANEU NEDERLAND B.V.;NL805863655B01;NL805863655B01;0;Grün;Final;Hauptsitz;
26159;HPS Techniek B.V.;NL812972909B01;NL812972909B01;0;;;;
26187;Handelshof Bitterfeld GmbH;DE 139 741 107;;SK3;Grün;Final;Hauptsitz;
26223;Hommel Hercules Werkzeughandel GmbH & Co. KG;DE146279926;;0;Grün;Final;Abhängige Niederlassung;
26259;SC Alfa Cluj SRL;RO8876716;RO8876716;0;;;;
26267;SAMOA-HALLBAUER GmbH;DE188670465;;SK3;Grün;Final;Hauptsitz;
26271;HEB GmbH - Hagener Entsorgungsbetrieb;DE191907347;;0;Grün;Final;Abhängige Niederlassung;
26377;Heuger Cottbus GmbH ;DE812337154;;SK3;Grün;Final;Hauptsitz;
26399;Handelshof Cottbus GmbH;DE 138 897 227;;0;Grün;Final;Hauptsitz;
26441;HEIRATEC GmbH;DE297110640;;SK3;Grün;Final;Hauptsitz;
26449;Hees + Peters GmbH;DE 149 876 625;;SK3;Grün;Final;Hauptsitz;
26471;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26556;HSP Schwahlen GmbH;DE 812405820;;SK3;Grün;Final;Hauptsitz;
26557;Handelshof Stendal GmbH;DE 139 530 734;;0;Grün;Final;Hauptsitz;
26585;HALECO SA;FR15433562550;FR15433562550;SK3;Grün;Final;Hauptsitz;
26605;HAHN & KOLB Werkzeuge GmbH;DE811502037;;SK;Grün;Final;Hauptsitz;
26611;Aug. Hedinger GmbH & Co. KG; DE 147512931;;0;Grün;Final;Hauptsitz;
26620;Hoffmann SE;DE322273007;;SK;Grün;Final;Hauptsitz;
26640;Fachmarkt Hiss GmbH;DE 205795893;;SK3;Grün;Final;Hauptsitz;
26644;Mechanisatie Haarlemmermeer B.V.;NL804555497B01;NL804555497B01;0;;;;
26674;Aug. Hedinger GmbH & Co. KG; DE 147512931;;SK3;Grün;Final;Abhängige Niederlassung;
26680;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26681;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26682;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26686;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26696;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26697;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26699;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26701;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26704;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26705;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26707;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26713;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26716;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26755;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26761;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26763;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26764;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26765;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26770;Hexion GmbH;DE811112786;;SK3;Grün;Final;Hauptsitz;
26772;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26773;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26776;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26777;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26791;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26799;Handelshof Bautzen GmbH;DE 140 363 270;;0;Grün;Final;Hauptsitz;
26822;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26832;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26835;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26852;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26869;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26877;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
26897;HLF Heiss Ges.m.b.H.;ATU20978002;ATU20978002;0;;;;
26916;Heuger Industriebedarf GmbH;DE 115678305;;0;Grün;Final;Hauptsitz;
26936;Handelshof Bitterfeld GmbH;DE 139 741 107;;0;Grün;Final;Hauptsitz;
26944;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27016;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27027;Handelsonderneming Remmerden B.V.;NL805915254B01;NL805915254B01;0;;;;
27057;Hexpol Compounding sprl;BE0430105126;BE0430105126;0;;;;
27095;Hein Déchets s.à.r.l;LU14736974;LU14736974;0;;;;
27096;Wilhelm Hoyer GmbH & Co. KG;DE116325140;;SK;Grün;Final;Hauptsitz;
27202;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27254;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27259;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27263;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27296;Höller GmbH;ATU56864888;ATU56864888;0;;;;
27299;Huck France Manutention;FR70515354488;FR70515354488;0;;;;
27304;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27306;HKL Baumaschinen Austria GmbH;ATU67084512;ATU67084512;0;Grün;Final;Hauptsitz;
27309;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27313;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27319;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27328;Hallesche Wasser und Stadtwirtschaft GmbH;DE 139 604 375;;SK3;Grün;Final;Hauptsitz;
27337;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27351;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27364;HIJSWINKEL B.V.;NL818373878B01;NL818373878B01;0;;;;
27389;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27412;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27421;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27433;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27463;Hijsspecialist.NL;NL806860996B01;NL806860996B01;0;;;;
27500;Hoberg & Driesch GmbH & Co. KG;DE 121283050;;SK3;Grün;Final;Hauptsitz;
27507;Hamag A/S;DK25128664;DK25128664;0;;;;
27516;Hittech Bihca BV;NL003859253B01;NL003859253B01;0;;;;
27572;Haléco Iberia SL;ESB58513912;ESB58513912;0;Grün;Final;Hauptsitz;
27582;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27626;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27628;Oliehandel Hulshof B.V.;NL806110314B01;NL806110314B01;0;;;;
27630;HAPPY END CZ, a.s.;CZ25649761;CZ25649761;0;;;;
27641;HUURLAND bvba;BE0885539625;BE0885539625;0;;;;
27647;Huurland BVBA;BE0885539625;BE0885539625;0;;;;
27657;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27660;Harton B.V.;NL856190433B01;NL856190433B01;0;;;;
27669;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27680;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27687;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27689;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27692;Hexpol Compounding Lesina s.r.o.;CZ62585207;CZ62585207;0;;;;
27693;H&H Staplerservice GmbH;ATU63999524;ATU63999524;0;;;;
27694;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27695;HTL Schöneck GmbH;DE236305637;DE236305637;0;;;;
27700;F. Hackländer GmbH;DE811124 607;;SK3;Grün;Final;Hauptsitz;
27702;hw Hortmann + Wolf GmbH;DE 316701576;;SK3;;;;
27706;Hef- en Hijsmiddelen Noord;NL858100241B01;NL858100241B01;0;;;;
27725;Hensel Recycling GmbH;DE205407972;;SK3;Grün;Final;Hauptsitz;
27727;Harmonic Sequence Constructions;EL800780548;EL800780548;0;;;;
27729;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27731;HESPEN LAURA BVBA;BE0413494865;BE0413494865;0;;;;
27736;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27741;Hofmeister & Meincke GmbH; DE291162459;;SK3;Grün;Final;Hauptsitz;
27742;Houweling International BV;NL813261521B01;NL813261521B01;SK3;;;;
27764;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27765;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27766;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27771;Hef & Hijs Nederland BV;NL812797851B01;NL812797851B01;0;;;;
27772;Van den Heuvel;NL009135303B01;NL009135303B01;0;;;;
27775;Holding Graz;ATU28606700;ATU28606700;0;;;;
27777;Heftruck Service Limburg BVBA;BE0451675154;BE0451675154;0;;;;
27782;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27786;Hefele GmbH & Co. KG;DE 127740978;;0;Grün;Final;Abhängige Niederlassung;
27789;HSE ET PROCESS SASU;FR22844224824;FR22844224824;0;;;;
27793;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27805;HARTH SARL;FR52483632378;FR52483632378;0;;;;
27813;Hessing Zwaagdijk B.V.;NL001090215B01;NL001090215B01;0;;;;
27814;Hermans Heftrucks bvba;BE0415659747;BE0415659747;0;;;;
27824;SC HESSE SRL;RO22362672;RO22362672;0;;;;
27834;Hinneburg GmbH;DE 142216704;;SK;Grün;Final;Hauptsitz;
27835;Hohenberg GmbH;DE118568313;;SK3;Grün;Final;Hauptsitz;
27838;HD infra Techniek;NL811838432B01;NL811838432B01;0;;;;
27847;Hacobo.nl;NL022101123B01;NL022101123B01;0;;;;
27849;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27855;HUILES BERLIET SAS;FR65957520612;FR65957520612;0;;;;
27866;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
27867;Hoffmann Supply Chain GmbH;DE315440485;;SK;Grün;Final;Hauptsitz;
27869;Hygea;BE0839927651;BE0839927651;0;;;;
27886;HKL Baumaschinen GmbH;DE 118 663 931;;0;Grün;Final;Abhängige Niederlassung;
28014;IDR-Entsorgungsgesellschaft mbH;DE 119435544;;SK3;Grün;Final;Hauptsitz;
28106;Jungheinrich Vertrieb Deutschland AG & Co. KG;DE814850925;;0;Grün;Final;Abhängige Niederlassung;
28109;Jungheinrich Vertrieb Deutschland AG & Co. KG;DE814850925;;0;Grün;Final;Abhängige Niederlassung;
28297;Inter-Che-M B.V.;NL003352663B01;NL003352663B01;SK;Grün;Final;Hauptsitz;
28307;Ets. J.-Pierre Issenhuth sàrl;FR77352240907;FR77352240907;0;;;;
